name,long,lat,group_link
Changi Simei,103.955110948119,1.34493553057398,not_created
Punggol,103.891815328408,1.3743788214828,not_created
Woodlands Galaxy,103.802610984283,1.43904160690114,not_created
Yew Tee,103.744727853367,1.39491758447052,not_created
Yio Chu Kang,103.841428124035,1.38151727157775,not_created
Cairnhill,103.838864880096,1.3104343381511,not_created
Fengshan  (Till 3Q 2021),103.939995692517,1.33049879236922,not_created
Thomson  (Till 1Q 2022),103.845522522015,1.35858841571498,not_created
Fernvale  (U/C),103.877039060027,1.39172205415033,not_created
Bidadari  (U/C),103.871670015649,1.33873065408448,not_created
Tengah  (U/C),103.734500050293,1.35675241769837,not_created
Yuhua,103.737065915264,1.33997285278881,not_created
Zhenghua,103.771520846382,1.3868068291971,not_created
Leng Kee,103.81444834816,1.28978711891653,not_created
imPAct@Hong Lim Green,103.846479315186,1.28632940482837,not_created
Sembawang,103.828783247126,1.4516815276281,not_created
Gek Poh Ville,103.698726261357,1.34868981937877,not_created
Geylang Serai,103.89659695323,1.3164501683615,not_created
Geylang West,103.872387855134,1.3156911078441,not_created
Henderson,103.823315322074,1.28601015660462,not_created
Hillview,103.764266389757,1.36196724402422,not_created
Hong Kah North,103.749456841487,1.35905888839505,not_created
Hougang,103.892622240184,1.36475743233025,not_created
Hwi Yoh,103.873890977742,1.37360010030912,not_created
Jalan Besar,103.861786572317,1.30800417111748,not_created
Joo Chiat,103.904168869493,1.30745720639376,not_created
Jurong Green,103.725341556777,1.35055603170356,not_created
Jurong Spring  (U/C),103.718155703267,1.34833016917296,not_created
Kallang,103.862373282501,1.31780290497647,not_created
Kampong Chai Chee,103.931620621577,1.32698498848449,not_created
Kampong Glam,103.863597858268,1.30279521839327,not_created
Kampong Kembangan,103.912698650056,1.32315519886988,not_created
Kampong Ubi,103.900750126977,1.31784643130184,not_created
Cheng San,103.849569976256,1.37178044674321,not_created
Chong Pang,103.829234874916,1.43083237048448,not_created
Chua Chu Kang,103.751903886481,1.38115529003064,not_created
Ci Yuan,103.882894179307,1.37514897825787,not_created
Clementi,103.768153686645,1.31881518814763,not_created
Dover,103.783271666717,1.302529944662,not_created
Eunos,103.91514355252,1.33255277788544,not_created
Fengshan  (U/C),103.936613618799,1.33070761805554,not_created
Fuchun,103.774811855067,1.42952981919595,not_created
Tampines Central,103.939683594446,1.35349615471813,not_created
Tampines Changkat,103.947687834643,1.3458133461735,not_created
Tampines East,103.954620461629,1.35335682593433,not_created
Tampines North,103.946602685067,1.35736478775974,not_created
Tampines West,103.935633408895,1.34875076398822,not_created
Tanglin,103.826877183466,1.32338446818001,not_created
Tanjong Pagar,103.841584210034,1.27616698002633,not_created
Teck Ghee,103.853536076665,1.36308867917974,not_created
Telok Blangah,103.807875435609,1.27486265663736,not_created
The Frontier,103.704452685304,1.34046956412475,not_created
The Serangoon,103.873927617452,1.37005486240283,not_created
Thomson  (U/C),103.83626228639,1.35125385335026,not_created
Tiong Bahru,103.831882714575,1.28345251714882,not_created
Toa Payoh Central,103.850204545922,1.33493451709456,not_created
Toa Payoh East,103.85470024903,1.33627489206396,not_created
Toa Payoh South,103.859378979813,1.33489037046643,not_created
Toa Payoh West,103.844830875826,1.3353827124599,not_created
Ulu Pandan,103.789211186001,1.31200940949362,not_created
West Coast,103.764832077473,1.30264555979077,not_created
Whampoa,103.856979169641,1.32463959408329,not_created
Woodgrove,103.785006866148,1.43177102177052,not_created
Woodlands,103.788235404817,1.43973033862036,not_created
Katong,103.884748931358,1.30059117423726,not_created
Keat Hong,103.744923812722,1.38406515926541,not_created
Kebun Baru,103.83761242449,1.37300749906274,not_created
Radin Mas,103.819753130977,1.27593101840053,not_created
Rivervale,103.901775024974,1.39362831366603,not_created
Sengkang,103.893906102774,1.39278558587024,not_created
Senja-Cashew,103.76465958417,1.38158679008906,not_created
Kim Seng,103.83070644581,1.28968265976033,not_created
Kolam Ayer,103.869693090627,1.32415431819917,https://t.me/+PAQoBVE2EIRkYzkx
Kreta Ayer,103.843012853618,1.28119257621546,not_created
Jurong Spring  (Till 1Q 2021),103.717011848542,1.34942130837618,not_created
Kaki Bukit,103.926846224656,1.33338206967953,not_created
Yishun Link,103.846399217959,1.42503566854712,not_created
MacPherson,103.884481193415,1.3235370882948,not_created
Marine Parade,103.9095452826,1.30482859822658,not_created
Marsiling,103.773615184767,1.44065677654285,not_created
Mountbatten  (Till further notice),103.884043223042,1.30017762817114,not_created
Nanyang,103.692320231917,1.3423640283979,not_created
Nee Soon Central,103.836092102185,1.42803584532257,not_created
Nee Soon East,103.838488083545,1.43102087212489,not_created
Nee Soon South,103.834693130803,1.4151749664221,not_created
Pasir Ris East,103.959198004761,1.3685870294423,not_created
Pasir Ris Elias,103.942476405496,1.37842943699246,not_created
Paya Lebar Kovan,103.886092082636,1.35779860505296,not_created
Pek Kio,103.851373846882,1.31305864843728,not_created
Potong Pasir,103.86703683934,1.33253591154285,not_created
Punggol 21,103.913464113125,1.39360624159956,not_created
Buangkok  (U/C),103.892190513977,1.38343476250513,not_created
Limbang Constituency Office,103.744727853367,1.39491758447052,not_created
One Punggol  (U/C),103.90508784944,1.40861759539368,not_created
Rivervale  (U/C),103.902319507384,1.38515276413574,not_created
Punggol Park,103.896252886146,1.37773444443111,not_created
Punggol Vista,103.907288602075,1.40328429076968,not_created
Punggol West,103.89566486383,1.40451590068484,not_created
Queenstown,103.80130510766,1.29915022797049,not_created
Siglap,103.9433365555,1.32163185812187,not_created
Siglap  (U/C),103.946742143134,1.31729193602696,not_created
Siglap South,103.930623466344,1.3131589522001,not_created
Taman Jurong,103.721626399564,1.3353068008328,not_created
ACE The Place,103.792240772323,1.42749277602918,not_created
Aljunied,103.889546235205,1.35465808310012,not_created
Anchorvale,103.886665684716,1.39712791773438,not_created
Ang Mo Kio,103.840668130336,1.36683348076669,not_created
Ayer Rajah,103.747540191939,1.3207993044286,not_created
Bedok,103.936047838803,1.32424659842593,not_created
Bishan,103.850509275687,1.34951161831951,not_created
Marymount,103.8412861742,1.36213756796576,not_created
Boon Lay,103.711380186479,1.34832322532679,not_created
Braddell Heights,103.8703678757,1.35161224552733,not_created
Bukit Batok,103.747514398535,1.35019080604781,not_created
Bukit Batok East,103.758195830417,1.34898738780681,not_created
Bukit Merah,103.815828543116,1.28525426592061,not_created
Bukit Panjang,103.77055880601,1.37645074924612,not_created
Bukit Timah,103.771609614654,1.34050085979547,not_created
Buona Vista,103.792619417011,1.30925871460611,not_created
Canberra,103.819473739147,1.44504412683036,not_created
